year,aggregate_score,political_rights,civil_liberties,status,asia_rank,source_url
2017,91,,,Free,,https://freedomhouse.org/country/taiwan/freedom-world/2017
2018,93,,,Free,,https://freedomhouse.org/country/taiwan/freedom-world/2018
2019,93,,,Free,,https://freedomhouse.org/country/taiwan/freedom-world/2019
2020,93,,,Free,,https://freedomhouse.org/country/taiwan/freedom-world/2020
2021,94,38,56,Free,,https://freedomhouse.org/country/taiwan/freedom-world/2021
2022,94,38,56,Free,,https://freedomhouse.org/country/taiwan/freedom-world/2022
2023,94,38,56,Free,2,https://freedomhouse.org/country/taiwan/freedom-world/2023
2024,94,38,56,Free,2,https://freedomhouse.org/country/taiwan/freedom-world/2024
2025,94,38,56,Free,2,https://freedomhouse.org/country/taiwan/freedom-world/2025
2026,93,38,55,Free,2,https://freedomhouse.org/country/taiwan
